Title,Text,[M] elective: ,[M] institution: ,[M] title: ,"[C] Altin, Rukiye (rukiye)","[C] Bradley, Steven","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Peltsverger, Svetlana"
Postgraduate Course: Extreme Computing (INFR11088),"<h2>title</h2>Postgraduate Course: Extreme Computing (INFR11088)<h2>summary</h2>Extreme Computing deals with the principles, systems and algorithms behind Web-scale problem solving. This touches upon the technologies and techniques used by companies such as Google, Facebook, Amazon, and Microsoft, using warehouse-scale computing and massive datasets. The course will be in three parts: the principles behind extreme computing (cloud computing, scaling, performance, etc.), supporting infrastructure (distributed file systems, replication, Web services etc.) and algorithms (Map/Reduce, case studies from Natural Language Processing, data processing, machine learning, data streaming).<h2>content</h2>        The course is to be conceptually split into three main areas, with each area not necessarily accounting for an equal portion of the syllabus. The three areas and the material covered in each area are as follows:<br> <br>* Background: Motivation for new computing paradigms; introduction and differences between cloud and cluster computing; scaling and performance.<br> <br>* Infrastructure: Distributed file systems; multi-tier systems, virtualisation; replication; fault tolerance; concurrent programming; web services.<br> <br>* Data structures and algorithms: decentralised data structures; programming frameworks; design and implementation of Map/Reduce programs; dealing with massive amounts of data; case studies from natural language processing, data processing, machine and deep learning; and computation over infinite streams.<br><br>The course will also deal with the legal, social, ethical, and professional issues involved in remotely storing data in cloud deployments and will also deal with potential solutions to these problems ",cxinfr11088,Edinburgh_UK,Postgraduate Course: Extreme Computing (INFR11088),AL; FPL,DM; OS,SE; AI,AR,SPD,AL; AR
Undergraduate Course: Formal Verification (INFR11129),"<h2>title</h2>Undergraduate Course: Formal Verification (INFR11129)<h2>summary</h2>Formal verification is the use of mathematical techniques to verify the correctness of various kinds of engineering systems: software systems and digital hardware systems, for example. Formal verification techniques are exhaustive and provide much stronger guarantees of correctness than testing or simulation-based approaches. They are particularly useful for safety and security critical systems and for when system behaviour is highly complex. The course focuses on automated techniques that are currently used in industry. It gives practical exposure to current formal verification tools, explaining the input languages used and introducing the underlying mathematical techniques and algorithms used for automation.<h2>content</h2>        In recent years there have been highly noteworthy cases of the adoption of formal verification (FV) techniques in industry. For example, at Intel, FV has largely replaced simulation-based verification of their microprocessors, at Microsoft, FV is used to certify that 3rd party drivers are free of certain kinds of concurrency bugs. As FV tools and methodologies improve, FV is expected to become more and more widely used in industry. <br> <br>This course aims to familiarise students with main classes of FV techniques that are likely to become most widespread in industry in the coming years. The intent is to prepare students who might go into industry with sufficient background in FV that they would be aware of when and how they might deploy FV techniques. The course will also be of interest to students who wish to go into research developing techniques for future-generation FV tools and who might need to use FV in their research. To satisfy these aims, the course has a practical focus, giving students hands-on experience with a number of tools and explaining their input languages for specifying systems and desired system properties. The course also introduces the underlying mathematical techniques, which gives students a deeper understanding of the tools and will help them use the tools most effectively. <br> <br>Topics the course covers include the following: <br>*Formal verification in context, its current take-up in industry and challenges to its wider <br>adoption <br>*Syntax and semantics of CTL and LTL temporal logics <br>*CTL and LTL model checking techniques, including automata-based approaches and <br>bounded model checking with SAT solvers <br>*The BDD data-structure used at the heart of many model checkers <br>*Writing models for model checking and phrasing useful properties in CTL and LTL <br>*Operational semantics of a simple imperative programming language, weakest precondition <br>operators and verification condition generation <br>*The capabilities of SMT solvers for discharging verification conditions <br>*Assertion-based software verification <br> <br> <br>Optional topics include: <br>*Industrial temporal logics such as PSL and SVA used in hardware verification <br>*Formal verification case studies <br>*Formal verification of hybrid systems, system with both discrete state changes and <br>continuous state changes governed by differential equations <br>*Combining formal and simulation-based verification methods <br>*Dual use of temporal logic properties and assertions in formal and simulation-based <br>verification of hardware and software  <br>*Software model checking, focusing on its use for finding concurrency bugs <br>*Pattern-based detection of concurrency bugs ",cxinfr11129,Edinburgh_UK,Undergraduate Course: Formal Verification (INFR11129),10,FPL; MSF,SEC; SE,SE; FPL,MSF,SE
Undergraduate Course: Introduction to Modern Cryptography (INFR11131),"<h2>title</h2>Undergraduate Course: Introduction to Modern Cryptography (INFR11131)<h2>summary</h2>Cryptography is the formal study of the notion of security in information systems. The course will offer an introduction to modern cryptography focusing on models and proofs of security for various basic cryptographic primitives and protocols. Cryptographic proofs are conditional on assumptions that fall in two categories: ""system assumptions"" such as the faithful execution of code, or the availability of private randomness and ""computational assumptions"". The latter are related to the computational complexity of various problems (including factoring large numbers and others). Students will learn to model security problems and prove them secure under precisely formulated system and computational assumptions.<h2>content</h2>        The course is divided in two parts: Private Key and Public Key. Topics covered in the Private Key part are: classical ciphers (Caesar, Vigenere), one-time pad and perfect secrecy, computational secrecy, pseudorandom functions and permutations, CPA security, CCA security and proofs by reduction. The following topics are also briefly discussed: block ciphers, modes of operation, message integrity, hash functions and MACs. In the Public Key part we cover: hard computational problems such as factoring and discrete log, the Diffie-Hellman key exchange protocol, ElGamal and digital signatures. Other topics that may also be discussed (depending on time) are: zero-knowledge proofs, Schnorr Identification, commitment schemes and oblivious transfer protocols. A tentative outline of the material is given below.<br><br>Part 1: Private Key<br><br>- Classical ciphers: Shift cipher, Vigenere<br>- Perfect secrecy<br>- One-time pad (OTP)<br>- Computational secrecy<br>- Pseudorandom generators (PRG)<br>- Pseudo-OTP<br>- Security against chosen-plaintext attacks (CPA)<br>- Pseudorandom functions / permutations (PRF / PRP)<br>- CPA-secure encryption using PRF/PRP: block ciphers<br>- Modes of operation: block ciphers, stream ciphers<br>- Malleability<br>- Security against chosen-ciphertext attacks (CCA)<br>- Padding-oracle attacks: non-CCA secure schemes<br>- Secrecy vs. integrity: message authentication codes (MAC)<br>- Hash functions<br><br>Part 2: Public Key<br><br>- Digital Signatures<br>- Trapdoor One-Way functions<br>- Random oracles<br>- Cyclic groups<br>- The discrete logarithm/Diffie-Hellman assumptions<br>- Key exchange and the Diffie-Hellman protocol<br>- Public Key Encryption<br>- Security against chosen-plaintext attacks<br>- ElGamal Encryption<br>- Zero-Knowledge proofs<br>- The Schnorr identification scheme ",cxinfr11131,Edinburgh_UK,Undergraduate Course: Introduction to Modern Cryptography (INFR11131),SEC,SEC; MSF,SEC,SEC,SEC; AL,SEC; MSF
Undergraduate Course: Knowledge Graphs (INFR11215),"<h2>title</h2>Undergraduate Course: Knowledge Graphs (INFR11215)<h2>summary</h2>Recent advances in AI have changed the perception of what AI systems can do, from decision sup-port to answering questions. An underlying feature of many AI systems concerns how knowledge is acquired, represented, and reasoned with. Today, knowledge graphs are used extensively by most of the world's leading IT companies, from search engines (e.g., the content of the Google knowledge panel is a tiny fragment of Google's knowledge graph) and chatbots to product recommenders and many applications of AI and data science. This course provides the theory and practice of knowledge graph construction, reasoning, and question answering technologies. The students will analyse case studies to construct knowledge graphs and apply reasoning services on them.<h2>content</h2>        In this course, we will cover topics such as:<br>Knowledge graph foundation and standards<br> - RDF (Resource Description Framework)<br> - OWL (Web Ontology Language)<br> - SPARQL (Query Language for RDF and OWL)<br>Knowledge graph construction, embeddings, and completion<br>Knowledge graph reasoning and querying<br> - Tableaux algorithm<br> - Tractable schema reasoning in EL<br> - Tractable query answering in DL-Lite<br> - Semantic parsing <br><br>The students will be expected to prepare for the lectures by reading related textbook chapters and papers. In addition to lectures, there will be some tutorials, helping students to better understand some concepts and theories. ",cxinfr11215,Edinburgh_UK,Undergraduate Course: Knowledge Graphs (INFR11215),GIT,AI; DM,AI,DM,AI,AI
Undergraduate Course: Machine Learning Practical (INFR11132),"<h2>title</h2>Undergraduate Course: Machine Learning Practical (INFR11132)<h2>summary</h2>This course is focused on the implementation and evaluation of machine learning systems, and is lab-based. Students who do this course will obtain experience in the design, implementation, training, and evaluation of machine learning systems.<br><br>Semester 1 comprises lectures, labs, and individual coursework.<br><br>Semester 2 is based around small group projects, and also includes tutorials and guest lectures.<br><br>Note: this course is not a stand-alone introduction to machine learning. Please see 'Other Requirements' for details.<h2>content</h2>        The course covers practical aspects of machine learning, and will focus on practical and experimental issues in deep learning and neural networks. Topics that are covered include:<br><br>* Feed-forward network architectures<br>* Optimisation and learning rules <br>* Regularisation and normalisation<br>* Neural networks for classification<br>* Autoencoders<br>* Convolutional Neural Networks<br>* Recurrent Neural Networks<br><br>MLP is coursework-based, with lectures to support the additional material required to carry out the practical. Students who complete this course will have experience in the design, implementation, training, and evaluation of machine learning systems.<br><br>MLP is a two-semester course.  During Semester 1 the course will focus on developing a deep learning framework based on experiments using the task of classification of handwritten digits using the well-known MNIST dataset. The course uses a Python software framework, and a series of Jupyter notebooks. There is a series of ten weekly lectures in Semester 1 to provide the required theoretical support to the practical work.<br><br>Semester 2 will be based on small group projects, with a focus on using deep neural networks within the context of a miniproject, using an open source toolkit such as TensorFlow or PyTorch. Lectures in Semester 2 will support the coursework, and also provide insights to the current state of the art in this very fast moving area. ",cxinfr11132,Edinburgh_UK,Undergraduate Course: Machine Learning Practical (INFR11132),AI; SEC,AI,AI; SE,AI,AI,AI
Undergraduate Course: Machine Learning and Pattern Recognition (INFR11130),"<h2>title</h2>Undergraduate Course: Machine Learning and Pattern Recognition (INFR11130)<h2>summary</h2>Machine learning is a field devoted to developing algorithms that adapt their behaviour to data, providing useful representations of the data and/or predictions. This course covers some fundamental theoretical concepts in machine learning, and common patterns for implementing methods in practice. The intended audience are those wanting the background required to begin research and development of machine learning methods.<br><br>This is an advanced course. Students should not choose this class without the required background (see ""Other Requirements"" box); students without this background are strongly advised to take a more practical-based course, such as Applied Machine Learning (INFR11211).<h2>content</h2>        The precise set of methods and algorithms used to illustrate and explore the main concepts will change slightly from year to year. However, the main topic headings are expected to be fairly stable.<br><br>- Classification and Regression:<br>                  Linear Regression, logistic regression, Bayes classifiers<br>- Expanded feature representations: <br>                  Basis functions, neural networks, kernel methods<br>- Generalization, regularization and inference: <br>                  Penalised cost functions, Bayesian prediction, learning theory<br>- Model selection, pruning and combination: <br>                 Cross-validation, Bayesian methods, sparsifying regularizers, ensemble methods.<br>- Representation and metric learning: <br>                  Dimensionality reduction, clustering, feature learning<br><br>To support these topics we will also cover:<br>- Optimization and Inference algorithms: <br>                  Stochastic gradient descent, simple Monte Carlo ideas, and more specialised methods as required.<br>- Practical issues: <br>                   Formulating problems as machine learning, adapting methods to fit problems. <br>                   Numerical and programming issues important for machine learning.<br>                   Ethical issues, such as responsible application of methods and privacy concerns. ",cxinfr11130,Edinburgh_UK,Undergraduate Course: Machine Learning and Pattern Recognition (INFR11130),AI,AI; MSF,AI,AI; AL,AI,AI
76,<h2>title</h2><h2>summary</h2><h2>content</h2> ,cxinfr11248,Edinburgh_UK,,,,,,,
Undergraduate Course: Natural Computing (INFR11161),"<h2>title</h2>Undergraduate Course: Natural Computing (INFR11161)<h2>summary</h2>This module teaches you about bio-inspired algorithms for optimisation and search problems. The algorithms are based on simulated evolution (including Genetic algorithms and Genetic programming), particle swarm optimisation, ant colony optimisation as well as systems made of membranes or biochemical reactions among molecules. These techniques are useful for searching very large spaces. For example, they can be used to search large parameter spaces in engineering design and spaces of possible schedules in scheduling. However, they can also be used to search for rules and rule sets, for data mining, for good feed-forward or recurrent neural nets and so on. The idea of evolving, rather than designing, algorithms and controllers is especially appealing in AI. In a similar way it is tempting to use the intrinsic dynamics of real systems consisting e.g. of quadrillions of molecules to perform computations for us. The course includes technical discussions about the applicability and a number of practical applications of the algorithms.<br><br>In this module, students will learn about<br><br>- The practicalities of natural computing methods: How to design algorithms for particular classes of problems.<br><br>- Some of the underlying theory: How such algorithms work and what is provable about them. <br><br>- Issues of experimental design: How to decide whether an metaheuristic algorithm works well. <br><br>- Current commercial applications. <br><br>- Current research directions.<h2>content</h2>        The lectures will cover the following subjects:<br><br>- Computational aspects of animal behaviour and of biological, chemical or physical systems<br>- Genetic and Evolutionary Algorithms: Selection, recombination and mutation, fitness and objective functions<br>- Swarm intelligence, particle swarms, differential evolution, robot swarms<br>- Theory: the schema theorem and its flaws; convergence, statistical mechanics approaches<br>- Comparisons among various metaheuristic algorithms, No-Free-Lunch theorems<br>- Hybrid, hyperheuristic, and memetic algorithms<br>- Multi-objective optimisation<br>- Genetic programming<br>- Applications such as engineering optimisation; scheduling; data-mining; neural net design<br>- Experimental issues: Design and analysis of sets of experiments<br><br>Relevant QAA Computing Curriculum Sections: Artificial Intelligence, Data Structures and Algorithms, Simulation and Modelling ",cxinfr11161,Edinburgh_UK,Undergraduate Course: Natural Computing (INFR11161),AL,AL,03; AI,AI; AL,AL; 03,AL; MSF
Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),"<h2>title</h2>Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023)<h2>summary</h2>The module familiarises students with the issues involved in designing, implementing and applying parallel programming systems. Initial motivation will be provided by consideration of a number of typical high performance applications and parallel architectures. This will highlight the role of parallel software systems as a means of bridging the gap between these and allow abstraction of the issues which must be addressed by any such system (partitioning, communication, agglomeration, scheduling). It will explore the ways in which these challenges have been addressed by a range of systems, including both de facto standards and more adventurous research projects.<h2>content</h2>        * Introduction. Conceptual and architectural models of parallelism. Parallel algorithmic paradigms and simple parallel algorithms.Iterative, recursive pipeline and bag-of-task parallelism.<br>* Generic issues in shared variable programming. Mutual exclusion, condition synchronization. Locks, barriers semaphores and monitors, use and implementation.<br>* Realisation in Pthreads and Java.<br>* Issues in message passing programming. Channels and synchronization models.<br>* Realisation in MPI: communicators, simple and collective operations<br>* Selected case studies highlighting alternative approaches, for example,<br>o Associative models. Linda, tuple space and related primitives.<br>o Threading Building Blocks.<br><br>Relevant QAA Computing Curriculum Sections:  Concurrency and Parallelism ",cxinfr11023,Edinburgh_UK,Postgraduate Course: Parallel Programming Languages and Systems (Level 11) (INFR11023),PDC,PDC,FPL; PDC,FPL,PDC; FPL,AR; PDC
Undergraduate Course: Privacy and Security with Machine Learning (INFR11240),"<h2>title</h2>Undergraduate Course: Privacy and Security with Machine Learning (INFR11240)<h2>summary</h2>The increasing popularity of machine learning (ML) and its new applications has raised security and privacy concerns. ML techniques provide adversaries with new capabilities to undermine the security and privacy of ICT systems. Moreover, there is a growing recognition of the security and privacy issues of ML algorithms. These issues can have tremendous consequences in a society that increasingly relies on ML, so they call for more robust methods that allow harnessing the benefits of ML in adversarial settings.<br><br>This is an introductory course on the topic. The course will provide an overview of adversarial applications of ML techniques, including those that undermine the privacy and security of ML-based systems. The course will also cover existing countermeasures and mitigation strategies.<h2>content</h2>        The course is divided into two blocks:<br><br>1. Emerging applications of ML techniques in the security and privacy domain<br><br>2. Threats to the privacy and security of ML models and risk mitigation strategies<br><br>In Block 1, we will cover novel applications of ML techniques to a range of problems in the security domain: traffic analysis, (de)anonymization of documents, hardware side channels, etc. The focus will be on how ML has augmented the attacker's capabilities.<br><br>In Block 2, we will turn to threats to the security and privacy of ML algorithms. We will review some of the following attacks: membership inference attacks, poisoning attacks, adversarial examples, etc. We will also discuss countermeasures that have been proposed to mitigate these attacks. <br><br>The lectures will combine presentations of specific research papers and the background in ML and Cyber Security required to follow the papers.<br><br>Most of the lectures will have a traditional format, where the lecturer will guide the discussion. The students will prepare for the lectures by reading the papers and reviewing the theory. ",cxinfr11240,Edinburgh_UK,Undergraduate Course: Privacy and Security with Machine Learning (INFR11240),SEC; AI,AI; SEC,AI; SEC,SEC; AI,SEC; AI,AI; SEC
Undergraduate Course: Quantum Cyber Security (INFR11187),"<h2>title</h2>Undergraduate Course: Quantum Cyber Security (INFR11187)<h2>summary</h2>In this course we cover a broad range of effects that the development of quantum technologies bring on the security and privacy of communication and computation. In particular we consider (i) post-quantum security: security of classical protocols when the adversaries have access to quantum computers or other quantum technologies and (ii) quantumly-enhanced security: when quantum technologies are used by honest parties to achieve better (in terms of security or efficiency) performance. We give an overview of the field, while in each case we focus on selected examples to illustrate how to handle security in a world with quantum technologies.<h2>content</h2>        This course deals with the various effects that developing quantum technologies will have on cyber security. Quantum computing and quantum information theory offers new possibilities (in terms of efficiency and security). Here we examine both the extra attacks that adversaries equipped with quantum technologies can perform and the extra possibilities opened when honest parties use quantum technologies.<br><br>The students first will be introduced to quantum information concepts (qubits, mixed states, operations, distance measures) as well as quantum algorithms (factoring, discrete logarithms, search) and their limitations. This will lead to LO1, namely learn the mathematical machinery and the power (and limitations) of quantum information and computation, in view of using these for cyber security.<br><br>The second part consists of learning and understanding quantum cryptography and specifically ""quantum-key-distribution"" protocols, including their security proofs and the how different implementations affect the performance (see LO4). The limitations (practical and theoretical) of quantum cryptography will also be analysed here (including impossibility results).<br><br>The third part deals with generalising classical notions such as encryption, authentication and secure delegated computation to quantum information. Introducing students in these concepts prepares them for the next generation of quantum cyber security that is bound to become relevant when large(r) quantum computers are constructed (LO5).<br><br>Finally, the last part of the course focuses on classical protocols and their security under quantum attacks. A cryptosystem based on the learning-with-errors problems will be introduced as a (key) example of this possibility (LO2). Furthermore, general quantum attacks (superposition attacks, the quantum random oracle model, etc) will be introduced and students will learn to analyse general quantum attacks on a given classical protocol (LO3). ",cxinfr11187,Edinburgh_UK,Undergraduate Course: Quantum Cyber Security (INFR11187),SEC,SEC; AL,SEC; AR,SEC; 07,SEC; 07,SEC; AR
Undergraduate Course: Randomized Algorithms (INFR11201),"<h2>title</h2>Undergraduate Course: Randomized Algorithms (INFR11201)<h2>summary</h2>This course is about randomness as a resource in algorithms and computation. The course introduces basic mathematical models and techniques and applies them to the design and analysis of various randomized algorithms. We will also cover a variety of applications of probabilistic ideas and randomization in several areas of computer science.<h2>content</h2>        1) Introduction, review of discrete probability, and elementary examples including randomized algorithms for checking identities, matrix multiplication verification, minimum cut in graphs.<br><br>2) Discrete Random Variables, Moments, Deviations and Tail Inequalities; applications, including the coupon collector problem.<br><br>3) Chernoff bounds and applications: random sampling and estimation of discrete distributions. The birthday paradox and applications.<br><br>4) The Probabilistic Method: random graphs and threshold phenomena. Max-cut approximation. Lovasz Local Lemma and application to boolean satisfiability.<br><br>5) Random Walks and Markov Chains: hitting and cover times; stationary distributions, random walks on undirected graphs.<br><br>6) The Monte Carlo Method; applications including sampling and approximate counting, the markov chain monte carlo method, the Metropolis algorithm.<br><br>7) Coupling of Markov Chains, mixing time, and applications, including card shuffling and sampling of graph colourings and independent sets. ",cxinfr11201,Edinburgh_UK,Undergraduate Course: Randomized Algorithms (INFR11201),AL; MSF,MSF; AL,AL; MSF,AL; 09,AL; MSF,AL; MSF
Postgraduate Course: Secure Programming (INFR11098),"<h2>title</h2>Postgraduate Course: Secure Programming (INFR11098)<h2>summary</h2>This course studies the principles and practices of secure programming. Secure programming means writing programs in a safe fashion, to avoid vulnerabilities that can be exploited by attackers. It also means using security features provided by libraries, such as authentication and encryption, appropriately and effectively. A range of programming platforms will be considered, ranging from low-level (e.g. Android OS), through web programming (e.g., JavaScript and Python) to high-level large-scale languages (e.g., Java). New and emerging language-based security mechanisms will be examined, including ways of specifying and enforcing security policies statically and dynamically (e.g., to enforce access controls or information flow policies).<h2>content</h2>        - Security maintainance of deployed software systems, including ""penetrate-and-patch"", vulnerability enumeration (CVE IDs) and classification (CWE taxonomy).<br>- Secure programming techniques and common pitfalls, covering input validation, output filtering, use of cryptography and authentication. Standards such as the OWASP guidelines and the CERT Secure Coding Standards.<br>- Malware (including adware, spyware) and its use of software vulnerabilities as an attack vector. Programming resilience against malware.<br>- Low-level programming platforms, VMs and their security provisions, for example including process isolation, capabilities and permissions. Mobile operating system platforms as examples.<br>- Web programming platforms and security provisions. HTTP protocol, forms, clientside and server-side threats and their avoidance.<br>- High-level and Enterprise security programming, including cryptography via cryptographic libraries, authentication via GSSAPI.<br>- Security APIs and their distinction from cryptography APIs. Use and design of security APIs for key management, hashing and encryption. Implementation in hardware and software.<br>- Language-based techniques for assisting security programming, using dynamic enforcement via runtime monitoring and static enforcement via program analysis. Example tools.<br>- Methods and tools for taint checking and information flow tracking to manage programming with sensitive data. Privacy risks with lack of encapsulation.<br>- Methods and tools for controlling resource usage with permissions and capabilities, and static analysis for guarantees in advance. ",cxinfr11098,Edinburgh_UK,Postgraduate Course: Secure Programming (INFR11098),PDC; SEC,SEC,SEC,SEC; FPL,SEC,SDF; SEC
Undergraduate Course: Text Technologies for Data Science (INFR11145),"<h2>title</h2>Undergraduate Course: Text Technologies for Data Science (INFR11145)<h2>summary</h2>This course teaches the basic technologies required for text processing, focussing mainly on information retrieval and text classification. It gives a detailed overview of information retrieval and describes how search engines work. It also covers basic knowledge of the main steps for text classification. <br><br>This course is a highly practical course, where at least 50% of what is taught in the course will be implemented from scratch in course works and labs, and students are required to complete a final project in small groups. All lectures, labs, and two course works will take place in Semester 1. The final group project will be due early Semester 2 by week 3 or 4.<h2>content</h2>        Syllabus:<br>* Introduction to IR and text processing, system components<br>* Zipf, Heaps, and other text laws <br>* Pre-processing: tokenization, normalisation, stemming, stopping.<br>* Indexing: inverted index, boolean and proximity search<br>* Evaluation methods and measures (e.g., precision, recall, MAP, significance testing).<br>* Query expansion<br>* IR toolkits and applications<br>* Ranked retrieval and learning to rank<br>* Text classification: feature extraction, baselines, evaluation<br>* Web search ",cxinfr11145,Edinburgh_UK,Undergraduate Course: Text Technologies for Data Science (INFR11145),DM,AI,DM; AI,AI,FPL,AI; AL
Undergraduate Course: Types and Semantics for Programming Languages (INFR11114),"<h2>title</h2>Undergraduate Course: Types and Semantics for Programming Languages (INFR11114)<h2>summary</h2>Type systems and semantics are mathematical tools for precisely describing aspects of programming language. A type system imposes constraints on programs in order to guarantee their safe execution, whilst a semantics specifies what a program will do when executed. This course gives an introduction to the main ideas and methods of type systems and semantics. This enables a deeper understanding of existing programming languages, as well as the ability to design and specify new language features.  The course also introduces relevant parts of logic and discrete mathematics used to describe types and semantics.<h2>content</h2>        - Inductive definitions and proof by induction<br>- Products, sums, unit, empty, and implication.<br>- Intuitionistic and classical logic.<br>- Universals and existentials.<br>- Lists and higher-order types.<br>- Simply-typed lambda calculus. Variable binding.<br>- Call-by-value and call-by-name.<br>- Small-step operational semantics.<br>- Progress and preservation.<br>- Type inference.<br>- Untyped lambda calculus.<br><br>Relevant QAA Computing Curriculum Sections: Comparative Programming Languages, Compilers and Syntax Directed Tools, Programming Fundamentals, Theoretical Computing ",cxinfr11114,Edinburgh_UK,Undergraduate Course: Types and Semantics for Programming Languages (INFR11114),FPL; PDC,FPL,FPL,FPL,FPL; MSF,FPL
Undergraduate Course: Usable Security and Privacy (INFR11158),"<h2>title</h2>Undergraduate Course: Usable Security and Privacy (INFR11158)<h2>summary</h2>Humans are a vital component of secure and private systems, they are also one of the most expensive components and the most challenging to reason about. In this course, students will learn about how to create systems that are usable while still fulfilling their primary security or privacy mission. Students will also learn about research topics such as designing user studies to critically evaluate interfaces and reading academic papers to create an academically-informed view of the topic.<h2>content</h2>        Introduction: History and overview of the Usable Security and Privacy research area.<br>Study design: Security and privacy activities tend to be secondary tasks. Students will learn how to design and analyze usability studies that are common in security and privacy such as targeting secondary tasks or ethically using some deception.<br>Privacy: Basic overview of the definitions of privacy as well as some of the legal and social aspects of it. Analysis of common privacy issues and how they are expressed through user interaction with systems.<br>Security: Overview of common security technologies and how they are impacted by usability. In- depth look at select topics such as password construction and management.<br>Ethics: Discussion of ethics, particularly around research in topics in security and privacy where participants can be particularly vulnerable. ",cxinfr11158,Edinburgh_UK,Undergraduate Course: Usable Security and Privacy (INFR11158),SEC,SEC; SEP,SEC; HCI,HCI; SEP,SEC,SEC; SEP
92,<h2>title</h2><h2>summary</h2><h2>content</h2> ,cxinfr11083,Edinburgh_UK,,,,,,,
Advanced Systems Programming (H) COMPSCI4089,"<h2>title</h2>Advanced Systems Programming (H) COMPSCI4089<h2>summary</h2><p id=""_COMPSCI40890""><span id=""_COMPSCI40891"">This course covers advanced topics systems programming, building on the material in Systems Programming (H) to explore new techniques for safer and more effective systems programming. It will focus on programming in an unmanaged environment, where data layout matters, and where performance is critical. This might include operating systems kernels, device drivers, low-level networking code, or other areas where the software-machine interface becomes critical.</span></p><h2>content</h2><p id=""_COMPSCI408927""><span id=""_COMPSCI408928"">The computing landscape has changed radically in the last decade. The desktop personal computer has become largely irrelevant, and heterogeneous, multicore, mobile, and real-time systems - smart mobile phones, netbooks, and laptops - are now ubiquitous. Yet, despite this shift, these systems are still programmed in C, and the majority run some variant of the Unix operating system. </span></p><p id=""_COMPSCI408929"">&nbsp;</p><p id=""_COMPSCI408930""><span id=""_COMPSCI408931"">The course aims to explore the features of modern programming languages and operating systems that can ease the challenges of systems programming, considering type systems and run-time support. It will review the research literature on systems programming and operating system interfaces, discuss the limitations of deployed systems, and consider how systems programming might evolve to address the challenges of supporting modern computing</span><span id=""_COMPSCI408932"">&nbsp;</span><span id=""_COMPSCI408933"">systems.  Particular emphasis will be placed on system correctness and secure programming, to ensure the resulting systems are safe to use in an adversarial environment.</span></p><h2>ilo</h2><p id=""_COMPSCI408935""><span id=""_COMPSCI408936"">By the end of this</span><span id=""_COMPSCI408937"">&nbsp;course students will be able</span><span id=""_COMPSCI408938"">&nbsp;to</span><span id=""_COMPSCI408939"">:</span></p><p id=""_COMPSCI408940""><span id=""_COMPSCI408941"">■&nbsp;</span><span id=""_COMPSCI408942"">Discuss the advantages and disadvantages of C as a systems programming language, and to compare and contrast this with a modern systems programming language, for example Rust; </span><span id=""_COMPSCI408943"">to </span><span id=""_COMPSCI408944"">d</span><span id=""_COMPSCI408945"">iscuss the role of the type system, static analysis, and verification tools in systems programming, and show awareness of how to model system properties using the type system to avoid errors;</span></p><p id=""_COMPSCI408946""><span id=""_COMPSCI408947"">■&nbsp;</span><span id=""_COMPSCI408948"">Discuss the challenges of secure low-level programming and write secure code in a modern systems programming language to perform systems programming tasks such as parsing hostile network input; show awareness of security problems in programs written in C;</span></p><p id=""_COMPSCI408949""><span id=""_COMPSCI408950"">■&nbsp;</span><span id=""_COMPSCI408951"">Discuss the advantages and disadvantages of integrating automatic memory management with the operating system/runtime, to understand the operation of popular garbage collection algorithms and alternative techniques for memory management, and know when it might be appropriate to apply such techniques and managed run-times to real-time systems and/or operating systems; </span></p><p id=""_COMPSCI408952""><span id=""_COMPSCI408953"">■&nbsp;</span><span id=""_COMPSCI408954"">Understand the impact of heterogeneous multicore systems on operating systems, compare and evaluate different programming models for concurrent systems, their implementation, and their impact on operating systems; and</span></p><p id=""_COMPSCI408955""><span id=""_COMPSCI408956"">■&nbsp;</span><span id=""_COMPSCI408957"">Construct and/or analyse simple programming to demonstrate understanding of novel techniques for memory management and/or concurrent programming, to understand the trade-offs and implementation decisions.</span></p> ",COMPSCI4089,Glasgow_Scotland,Advanced Systems Programming (H) COMPSCI4089,FPL,FPL,SE; FPL,FPL,SF; OS; PDC,SF; OS
