"Title","Text","UnitId","[M] elective: ","[M] institution: ","[M] title: ","[C] Altin, Rukiye (rukiye)","[C] Barker, Lecia","[C] Bradley, Steven","[C] Hooshangi, Sara","[C] Kunkeler, Thom","[C] McNeill, Fiona","[C] Minguillón, Julià (Julià Minguillón)","[C] Parker, Miranda","[C] Parkinson, Jack","[C] Peltsverger, Svetlana"
"Syllabus for Secure Computer Systems I","<h2>title</h2>Syllabus for Secure Computer Systems I<h2>content</h2><h2>ilo</h2> <li>explain basic concepts, theories and principles for security in computer systems, such as identification, authenticity and access control</li> <li>explain principles for attacks and protective measures in different aspects of computer systems, such as operating systems, software, networks and web based systems</li> <li>identify weaknesses and strengths concerning the security in computer systems</li> <li>discuss ethical aspects of computer systems security and its application</li> <li>present and discuss the course content orally and in writing with proficiency appropriate to the course level</li> ",,"1DT072","Uppsala_Sweden","Syllabus for Secure Computer Systems I","OS; NC","SEC","SEC","SEC; OS; NC; SEP",,,,,,
"Syllabus for Algorithms and Data Structures III","<h2>title</h2>Syllabus for Algorithms and Data Structures III<h2>content</h2><h2>ilo</h2> <li>analyse NP-completeness of an algorithmic problem;</li> <li>use advanced algorithm analysis methods, such as amortised analysis and probabilistic analysis;</li> <li>use advanced algorithm design methods in order to approach hard algorithmic problems in a pragmatic way, such as by using randomised algorithms (such as universal hashing), approximation algorithms, stochastic local search (such as simulated annealing and tabu search), integer programming, propositional satisfiability (SAT), and SAT modulo theories (SMT).</li> <li>present and discuss topics related to the course content orally and in writing with a skill appropriate for the level of education.</li> ",,"1DL481","Uppsala_Sweden","Syllabus for Algorithms and Data Structures III","AL; SF","AL","AL","AL",,,,,,
"Syllabus for Cryptology","<h2>title</h2>Syllabus for Cryptology<h2>content</h2><h2>ilo</h2> <li>give examples of how theories, principles, and techniques based on cryptology can be used to achieve data security.</li> <li>explain the theories underpinning common cryptographic methods, such as different types of hash-functions, symmetric and asymmetric ciphers, digital signatures and random numbers.</li> <li>analyse, use and implement such methods and reflect on their limits and applicability.</li> ",,"1DT075","Uppsala_Sweden","Syllabus for Cryptology","NC; SEC; SF","NC; SEC","SEC; AL","SEC; MSF",,,,,,
"CS3414: Numerical Methods","<h2>title</h2>CS3414: Numerical Methods<h2>summary</h2>Computational methods for numerical solution of non-linear equations, differential equations, approximations, iterations, methods of least squares, and other topics. Partially duplicates Math 4554.&nbsp; Cross-listed with Math 3414. (3H, 3C) ",,"CS3414","VirginiaTech_USA","CS3414: Numerical Methods","MSF","MSF","MSF","AL; MSF",,,,,,
"CS3724: Introduction to Human-Computer Interaction","<h2>title</h2>CS3724: Introduction to Human-Computer Interaction<h2>summary</h2>Survey of human-computer interaction concepts, theory, and practice. Basic components of human-computer interaction. Interdisciplinary underpinnings. Informed and critical evaluation of computer-based technology. User-oriented perspective, rather than system-oriented, with two thrusts: human (cognitive, social) and technological (input/output, interactions styles, devices). Design guidelines, evaluation methods, participatory design, communication between users and system developers. (3H,3C) ",,"CS3724","VirginiaTech_USA","CS3724: Introduction to Human-Computer Interaction","HCI","HCI","HCI","HCI",,,,,,
"CS4284: Systems &amp; Networking Capstone","<h2>title</h2>CS4284: Systems &amp; Networking Capstone<h2>summary</h2>Advanced topics in computer systems &amp; networking, e.g. distributed and parellel processing, emerging architectures, novel systems management &amp; networking design, fault-tolerance, and robust and secure data management. Team-based approach to solving open-ended computer systems &amp; networking problems. Designing, implementing and documenting advanced computer/networking systems. (3H,3C) ",,"CS4284","VirginiaTech_USA","CS4284: Systems &amp; Networking Capstone","NC","NC; SF","NC","NC; PDC; OS; AR",,,,,,
"CS4624: Multimedia, Hypertext and information Access","<h2>title</h2>CS4624: Multimedia, Hypertext and information Access<h2>summary</h2>Introduces the architectures, concepts, data, hardware, methods, models, software, standards, structures, technologies, and issues involved with: networked multimedia (e.g., image, audio, video) information, access and systems; hypertext and hypermedia; electronic publishing; virtual reality. Coverage includes text processing, search, retrieval, browsing, time-based performance, synchronization, quality of service, video conferencing and authoring. ",,"CS4624","VirginiaTech_USA","CS4624: Multimedia, Hypertext and information Access","SF; NC","SPD","NC","DM; AI; HCI",,,,,,
"CS4644: Creative Computing Studio","<h2>title</h2>CS4644: Creative Computing Studio<h2>summary</h2>Capstone computer science course at the intersection of arts and technology. Intensive immersion in different approaches to digital arts such as game design, interactive art, digital music, and immersive virtual reality. Students work in teams to conduct an end-to-end integrative design project. (3H,3C) ",,"CS4644","VirginiaTech_USA","CS4644: Creative Computing Studio",,"21; SPD",21,"GIT; 21",,,,,,
"CS4654: Intermediate Data Analytics and Machine Learning","<h2>title</h2>CS4654: Intermediate Data Analytics and Machine Learning<h2>summary</h2>A technical analytics course.&nbsp; Covers supervised and unsupervised learning strategies, including regression, generalized linear models, regularization, dimension reduction methods, tree-based methods for classification, and clustering. Upper-level analytical methods shown in practice, e.g., advanced naive Bayes and neural networks.&nbsp; Cross-listed with CMDA 4654 and STAT 4654. (3H, 3C) ",,"CS4654","VirginiaTech_USA","CS4654: Intermediate Data Analytics and Machine Learning",,"AI","AI; MSF","AI; MSF",,,,,,
"CS4784: Human-Computer Interaction Capstone","<h2>title</h2>CS4784: Human-Computer Interaction Capstone<h2>summary</h2>Advanced, project-based course in Human-Computer Interaction. Team-based, end-to-end, integrative interface design project drawn from areas of expertise in the department, e.g., virtual reality, augmented reality, embodied cognition, visualization, semiotic engineering, game design, personal information management, mobile computing, design tools, educational technology, and digital democracy. (3H,3C) ",,"CS4784","VirginiaTech_USA","CS4784: Human-Computer Interaction Capstone","HCI","HCI","HCI; GIT","HCI; SPD",,,,,,
